label,excerpt
-2.599907213,"But here Nature fulfilled her want of speech and spoke for her. The murmur of the brook, the voice of the village folk, the songs of the boatmen, the crying of the birds and rustle of trees mingled and were one with the trembling of her heart. They became one vast wave of sound which beat upon her restless soul. This murmur and movement of Nature were the mute girl's language; that speech of the dark eyes, which the long lashes shaded, was the language of the world about her. From the trees, where the cicadas chirped, to the quiet stars there was nothing but signs and gestures, weeping and sighing. And in the deep mid-noon, when the boatmen and fisherfolk had gone to their dinner, when the villagers slept and birds were still, when the ferryboats were idle, when the great busy world paused in its toil and became suddenly a lonely, awful giant, then beneath the vast impressive heavens there were only mute Nature and a girl, sitting very silent,—one under the spreading sunlight, the other where a small tree cast its shadow."
-0.757147963,"Above all, Sargent's portraits are masterly. He was famous in that branch of art before he was twenty-eight years old. Among his finest portraits is that of ""Carmencita,"" a Spanish dancer, who for a time set the world wild with pleasure. The list of his famous portraits is very long.
Sargent's father was a Philadelphia physician; who originally came from New England, but the artist himself was born in Florence. He was given a good education and grew up with the beauties of Florence all about him, in a refined and charming home. He was the delight of his master, Carolus Durand for he was modest and refined, yet full of enthusiasm and energy. In his twenty-third year he painted a fine picture of his master. Sargent was a musician as well as a painter; a man of great versatility, as if the gods and all the muses had presided at his birth."
-2.383689042,"The current is conveyed under the gaps by means of an insulated copper cable carried in wrought-iron pipes, placed at a depth of 18 inches. At the passing places, which are situated on inclines, the conductor takes the inside, and the car ascending the hill also runs on the inside, while the car descending the hill proceeds by gravity on the outside lines.
From the brushes the current is taken to a commutator worked by a lever, which switches resistance frames placed under the car, in or out, as may be desired. The same lever alters the position of the brushes on the commutator of the dynamo machine, reversing the direction of rotation, in the manner shown by the electrical hoist. The current is not, as it were, turned full on suddenly, but passes through the resistances, which are afterward cut out in part or altogether, according as the driver desires to run at part speed or full speed."
-2.45685538,"As the volume comprised between the two pistons varies with the position of the latter, annoying counter-pressures might result therefrom had not care been taken to put the chamber in communication with a reservoir of ten times greater capacity, and which is formed by the interior of the frame. This brings about an almost constant counter-pressure.
The type of motor under consideration, which we represent in the accompanying plate, is possessed of remarkable simplicity. The number of parts is reduced to the extremest limits; it works at high speed without perceptible wear; it does not require those frequent repairs that many other cheap engines do; and the expansion of the steam is utilized without occasioning violent shocks in the parts which transmit motion. Finally, the plainness of the whole apparatus is perfectly in accordance with the uses for which it was devised."
-2.934846302,"Thus Horn came into his kingdom again; but he had yet to punish Fikenhild the traitor, who first separated him from Rimenhild (for this Aylmer had told him), and King Modi, who had sought to wed her against her will.
Fikenhild, when Horn came back to Westerness in time to save Rimenhild from Modi, had fled; but he still plotted deep treachery in his heart. By bribes and favours he won many knights to follow him; and he built himself a great castle of stone, set on a rock, surrounded on all sides with water, so that none could come at it easily. Then by stealth one night he and Rimenhild carried off and married in this castle, holding a great feast at sunrise to celebrate the marriage.
Horn knew nought of this by word of mouth or letter. But in a dream he beheld Rimenhild: she seemed to him as though shipwrecked, calling upon his name; but when she tried to swim to him, Fikenhild appeared and prevented her."
1.104488747,"The city bus was almost full, but more people were still pushing to get on. Some packed their luggage under the bus. Others put their things on the racks inside. New passengers clutched their tickets as they looked for somewhere to sit in the crowded bus. Women with young children made them comfortable for the long journey. I squeezed in next to a window. The person sitting next to me was holding tightly to a green plastic bag. He wore old sandals, a worn-out coat, and he looked nervous. I looked outside the bus and realized that I was leaving my village, the place where I had grown up. I was going to the big city. The loading was completed and all passengers were seated. Hawkers still pushed their way into the bus to sell their goods to the passengers. Each one was shouting the names of what was available for sale. The words sounded funny to me. A few passengers bought drinks, others bought small snacks and began to chew."
-1.109053189,"A central processing unit (CPU) is an important part of almost every computer. The CPU sends signals to control the other parts of the computer, almost like how a brain controls a body.
The CPU is an electronic machine that works on a list of things to do, called instructions. It reads the list of instructions and does (executes) each one in order. A list of instructions that a CPU can run is a computer program.
The speed that a CPU works at is measured in hertz (Hz). Modern processors often run so fast that gigahertz (GHz) is used instead. One gigahertz is one billion cycles per second.
Most CPUs used in desktop (home) computers are made by either Intel or Advanced Micro Devices (usually shortened to AMD). Some other companies that make CPUs are ARM, IBM, and Sun Microsystems. Their CPUs are usually used for more specialized things, like in mobile phones, cars, game consoles, or in the military."
-2.39059848,"From among a cloud of proposals, experiments, and inventions, two great systems at length disentangled themselves. They were the English construction of built-up wrought iron coils, and the Prussian construction of solid steel castings. Wrought-iron, as you are all aware, is nearly pure iron, containing but a trace of carbon. Steel, as used for guns, contains from 0.3 to 0.5 per cent of carbon; the larger the quantity of carbon, the harder the steel. Since the early days of which I am now speaking, great improvement has taken place in the qualities of both materials, but more especially in that of steel. Still the same general characteristics were to be noted, and it may be broadly stated, that England chose confessedly the weaker material, as being more under control, cheaper, and safer to intrust with the lives of men; while Prussia selected the stronger but less manageable substance, in the hope of improving its uniformity, and rendering it thoroughly trustworthy. The difference in strength, when both are sound, is great. Roughly, gun steel is about twice as strong as wrought iron."
-1.503788351,"So, what exactly happens in the brain that causes faster reaction times for the expected (attended) pictures in the activity we described above? In humans, one powerful method used to examine what is going on inside the brain is to record the electrical activity produced by the brain when it is active. Brain cells (neurons) send information to one another using small electrical signals. These tiny electrical signals can flow up through the tissues and across the skull and scalp, where they can be recorded using electrodes (small metal disks) attached to the scalp. Electrical devices called amplifiers boost the tiny signals so we can observe them more easily. This method is called electroencephalography (EEG) and the recorded signals are called electroencephalograms (EEGs or EEG signals).
The EEG signal is produced by the activity of thousands or millions of neurons in the brain, and contains lots of different electrical signals coming from multiple different brain regions at any particular moment."
-1.160499104,"He had hardly seen anything of her since it began. A bad business! He had no notion of giving her a lot of money to enable a fellow he knew nothing about to live on in idleness. He had seen that sort of thing before; no good ever came of it. Worst of all, he had no hope of shaking her resolution; she was as obstinate as a mule, always had been from a child. He didn't see where it was to end. They must cut their coat according to their cloth. He would not give way till he saw young Bosinney with an income of his own. That June would have trouble with the fellow was as plain as a pikestaff; he had no more idea of money than a cow. As to this rushing down to Wales to visit the young man's aunts, he fully expected they were old cats. "
